"","JKSE.Open","JKSE.High","JKSE.Low","JKSE.Close","JKSE.Volume","JKSE.Adjusted","Date"
"2018-01-03",6341.270996,6342.190918,6220.694824,6251.479004,48866400,6251.479004,"2018-01-03"
"2018-01-04",6257.716797,6292.320801,6233.937012,6292.320801,57864900,6292.320801,"2018-01-04"
"2018-01-05",6279.457031,6353.737793,6278.724121,6353.737793,74223700,6353.737793,"2018-01-05"
"2018-01-08",6354.361816,6385.403809,6349.041992,6385.403809,66702400,6385.403809,"2018-01-08"
"2018-01-09",6393.874023,6402.744141,6351.23291,6373.144043,66932000,6373.144043,"2018-01-09"
"2018-01-10",6380.917969,6412.028809,6355.219238,6371.173828,70066900,6371.173828,"2018-01-10"
"2018-01-11",6375.030762,6386.338867,6344.040039,6386.338867,117346700,6386.338867,"2018-01-11"
"2018-01-12",6391.466797,6409.174805,6359.832031,6370.064941,86340200,6370.064941,"2018-01-12"
"2018-01-15",6379.073242,6390.88916,6361.609863,6382.194824,73531200,6382.194824,"2018-01-15"
"2018-01-16",6386.216797,6429.691895,6381.310059,6429.691895,81954500,6429.691895,"2018-01-16"
"2018-01-17",6429.772949,6452.506836,6420.060059,6444.518066,86927700,6444.518066,"2018-01-17"
"2018-01-18",6456.898926,6483.269043,6452.054199,6472.666016,111698100,6472.666016,"2018-01-18"
"2018-01-19",6483.833008,6490.895996,6443.009766,6490.895996,70168900,6490.895996,"2018-01-19"
"2018-01-22",6495.383789,6529.201172,6484.121094,6500.528809,87812600,6500.528809,"2018-01-22"
"2018-01-23",6538.013184,6635.333984,6537.078125,6635.333984,85330100,6635.333984,"2018-01-23"
